trade_date,vix7,vix7_mode,vix7_d1,vix7_d2,vix7_code1,vix7_code2,vix14,vix14_mode,vix14_d1,vix14_d2,vix14_code1,vix14_code2,vix30,vix30_mode,vix30_d1,vix30_d2,vix30_code1,vix30_code2,n_expiry_used,n_expiry_near,n_expiry_near_ok,dte_near,F_near,K0_near,ba_ratio,strip_min,expiry_src,warnings,vix7_span,vix14_span,vix30_span,close_0050
2020-03-09,38.31745176069887,interp,2.0,9.0,202003W2,202003,33.5307991999515,interp,9.0,37.0,202003,202004,28.472853664426328,interp,9.0,37.0,202003,202004,6,3,3,2.0,10969.0,10900.0,0.6151334560416694,29.0,empirical,,7.0,28.0,28.0,21.647943281208587
2020-03-10,30.67188201425201,interp,1.0,8.0,202003W2,202003,28.392962251338844,interp,8.0,36.0,202003,202004,26.65828336153693,interp,8.0,36.0,202003,202004,6,3,3,1.0,11013.0,11000.0,0.5404693486590039,36.0,empirical,,7.0,28.0,28.0,21.761415319374503
2020-03-11,34.969657718028955,exact,7.0,7.0,202003,202003,31.220745953801547,interp,7.0,35.0,202003,202004,29.02400018908828,interp,7.0,35.0,202003,202004,5,3,2,7.0,10823.0,10800.0,0.5729166666666667,48.0,empirical,202003W2(d0):dte=0 < 1,0.0,28.0,28.0,21.50925523456136
2020-03-12,40.29805487779316,interp,6.0,34.0,202003,202004,35.79621426672258,interp,6.0,34.0,202003,202004,33.14616133491233,interp,6.0,34.0,202003,202004,5,2,2,6.0,10366.5,10300.0,0.5728414442700157,49.0,empirical,,28.0,28.0,28.0,20.71495096739995
2020-03-13,49.79262155107155,interp,5.0,33.0,202003,202004,43.3683668395983,interp,5.0,33.0,202003,202004,39.51734580008751,interp,5.0,33.0,202003,202004,5,2,2,5.0,10017.5,10000.0,0.5632861635220126,53.0,empirical,,28.0,28.0,28.0,20.424966869864832
2020-03-16,52.6465917936436,interp,2.0,30.0,202003,202004,47.54573641582435,interp,2.0,30.0,202003,202004,44.58730997383128,exact,30.0,30.0,202004,202004,5,2,2,2.0,9668.5,9600.0,0.5550239234449761,55.0,empirical,,28.0,28.0,0.0,19.49197455605619
2020-03-17,52.01011158792741,interp,1.0,29.0,202003,202004,50.07148279363759,interp,1.0,29.0,202003,202004,48.44286476708265,interp,29.0,64.0,202004,202005,5,2,2,1.0,9361.0,9300.0,0.4914220752377015,59.0,empirical,,28.0,28.0,35.0,18.874182348263982
2020-03-18,53.69821758756612,exact,7.0,7.0,202003W4,202003W4,51.0028976648675,interp,7.0,28.0,202003W4,202004,48.44294847933011,interp,28.0,63.0,202004,202005,5,3,2,7.0,9027.0,9000.0,0.7236533957845432,21.0,empirical,202003(d0):dte=0 < 1,0.0,21.0,35.0,18.35725417439703
2020-03-19,,no_bracket,,,,,,no_bracket,,,,,51.39697487963991,interp,27.0,62.0,202004,202005,5,2,1,27.0,8355.0,8300.0,0.6190476190476191,63.0,empirical,"202003W4(d6):F=8476 低於最低履約價 8500 (階梯 8500~10200),put 翼缺失",,,35.0,17.285573813941163
2020-03-20,55.86052116504573,interp,5.0,26.0,202003W4,202004,53.857690606277664,interp,5.0,26.0,202003W4,202004,51.64049041703508,interp,26.0,61.0,202004,202005,6,2,2,5.0,9100.0,9100.0,0.9191176470588236,38.0,empirical,,21.0,21.0,35.0,18.659846276172807
2020-03-23,62.0013329766509,interp,2.0,23.0,202003W4,202004,58.09432329807274,interp,2.0,23.0,202003W4,202004,53.69107729612767,interp,23.0,58.0,202004,202005,6,2,2,2.0,8780.5,8750.0,0.7503869969040248,38.0,empirical,,21.0,21.0,35.0,17.85293400477074
2020-03-24,47.38469166921557,interp,1.0,22.0,202003W4,202004,46.87465299713178,interp,1.0,22.0,202003W4,202004,44.33529683011,interp,22.0,57.0,202004,202005,6,2,2,1.0,9320.0,9300.0,0.6787925696594428,38.0,empirical,,21.0,21.0,35.0,18.722886297376096
2020-03-25,46.59616378513732,exact,7.0,7.0,202004W1,202004W1,44.56395987430368,interp,7.0,21.0,202004W1,202004,42.11886713216433,interp,21.0,56.0,202004,202005,6,3,2,7.0,9666.5,9600.0,0.8235294117647058,27.0,empirical,202003W4(d0):dte=0 < 1,0.0,14.0,35.0,19.378502517890272
2020-03-26,46.38927917264064,interp,6.0,20.0,202004W1,202004,45.45487754210305,interp,6.0,20.0,202004W1,202004,43.28752550929423,interp,20.0,55.0,202004,202005,6,2,2,6.0,9719.5,9700.0,0.7647058823529411,34.0,empirical,,14.0,14.0,35.0,19.46675854757488
2020-03-27,47.247426107079576,interp,5.0,19.0,202004W1,202004,47.476390616604434,interp,5.0,19.0,202004W1,202004,44.76385297129799,interp,19.0,54.0,202004,202005,6,2,2,5.0,9662.0,9650.0,0.7369281045751634,36.0,empirical,,14.0,14.0,35.0,19.315462496686987
2020-03-30,46.9155570933535,interp,2.0,16.0,202004W1,202004,46.33352513326981,interp,2.0,16.0,202004W1,202004,44.07035734506549,interp,16.0,51.0,202004,202005,6,2,2,2.0,9671.0,9650.0,0.6601307189542484,36.0,empirical,,14.0,14.0,35.0,19.126342433077127
2020-03-31,46.64052669638074,interp,1.0,15.0,202004W1,202004,47.18640957849411,interp,1.0,15.0,202004W1,202004,43.59532533436026,interp,15.0,50.0,202004,202005,6,2,2,1.0,9674.5,9650.0,0.6062091503267973,36.0,empirical,,14.0,14.0,35.0,19.20199045852108
2020-04-01,41.37113099665955,exact,7.0,7.0,202004W2,202004W2,44.512697575049,exact,14.0,14.0,202004,202004,41.99278868419681,interp,14.0,49.0,202004,202005,6,3,2,7.0,9625.5,9600.0,0.7570806100217865,27.0,empirical,202004W1(d0):dte=0 < 1,0.0,0.0,35.0,19.13895043731779
2020-04-06,37.75257025429948,interp,2.0,9.0,202004W2,202004,36.906041431516016,interp,9.0,44.0,202004,202005,35.685508308480465,interp,9.0,44.0,202004,202005,6,2,2,2.0,9865.0,9850.0,0.657563025210084,28.0,empirical,,7.0,35.0,35.0,19.428934534852903
2020-04-07,35.13060611376878,interp,1.0,8.0,202004W2,202004,34.21760978008668,interp,8.0,43.0,202004,202005,33.46773992920379,interp,8.0,43.0,202004,202005,6,2,2,1.0,10012.75,10000.0,0.502134724857685,31.0,empirical,,7.0,35.0,35.0,19.794566657831965
2020-04-08,33.99477495709648,exact,7.0,7.0,202004,202004,33.71976008006652,interp,7.0,42.0,202004,202005,33.572164324677885,interp,7.0,42.0,202004,202005,5,2,1,7.0,10136.0,10100.0,0.4729729729729729,74.0,empirical,202004W2(d0):dte=0 < 1,0.0,35.0,35.0,20.071942751126425
2020-04-09,31.459474470496108,interp,6.0,41.0,202004,202005,32.44542328258993,interp,6.0,41.0,202004,202005,32.95920513201077,interp,6.0,41.0,202004,202005,5,1,1,6.0,10100.0,10100.0,0.4666666666666667,75.0,empirical,,35.0,35.0,35.0,19.983686721441824
2020-04-10,28.10663757950957,interp,5.0,40.0,202004,202005,30.068703010697444,interp,5.0,40.0,202004,202005,31.06450719491071,interp,5.0,40.0,202004,202005,5,2,2,5.0,10132.5,10100.0,0.4679166666666666,64.0,empirical,,35.0,35.0,35.0,19.99629472568248
2020-04-13,33.28641879221031,interp,2.0,37.0,202004,202005,32.7724992658448,interp,2.0,37.0,202004,202005,32.49508565809304,interp,2.0,37.0,202004,202005,5,2,2,2.0,10076.0,10050.0,0.4745065789473684,64.0,empirical,,35.0,35.0,35.0,19.870214683275908
2020-04-14,28.502796954951293,interp,1.0,36.0,202004,202005,28.602006978527207,interp,1.0,36.0,202004,202005,28.65477854221653,interp,1.0,36.0,202004,202005,5,2,2,1.0,10344.75,10300.0,0.467516447368421,64.0,empirical,,35.0,35.0,35.0,20.41235886562417
2020-04-15,26.27896335844996,exact,7.0,7.0,202004W4,202004W4,27.353682778280163,interp,7.0,35.0,202004W4,202005,27.909950189543416,interp,7.0,35.0,202004W4,202005,5,3,2,7.0,10389.5,10350.0,0.8076508620689655,29.0,empirical,202004(d0):dte=0 < 1,0.0,28.0,28.0,20.47539888682746
2020-04-16,26.02592470899048,interp,6.0,34.0,202004W4,202005,27.59660020776949,interp,6.0,34.0,202004W4,202005,28.398795554233548,interp,6.0,34.0,202004W4,202005,6,2,2,6.0,10367.5,10350.0,0.765625,32.0,empirical,,28.0,28.0,28.0,20.3745348529022
2020-04-17,24.33846729513027,interp,5.0,33.0,202004W4,202005,26.367324404225183,interp,5.0,33.0,202004W4,202005,27.387996630223395,interp,5.0,33.0,202004W4,202005,6,2,2,5.0,10601.0,10600.0,0.734375,32.0,empirical,,28.0,28.0,28.0,20.99232706069441
2020-04-20,28.822908034136606,interp,2.0,30.0,202004W4,202005,28.672207630351643,interp,2.0,30.0,202004W4,202005,28.59150929769129,exact,30.0,30.0,202005,202005,6,2,2,2.0,10535.5,10500.0,0.6176339285714285,35.0,empirical,,28.0,28.0,0.0,20.92928703949112
2020-04-21,34.57789351378487,interp,1.0,29.0,202004W4,202005,34.19151033422981,interp,1.0,29.0,202004W4,202005,33.84606174343157,interp,29.0,57.0,202005,202006,6,2,2,1.0,10278.0,10250.0,0.6008928571428571,35.0,empirical,,28.0,28.0,28.0,20.32410283593957
2020-04-22,28.614061808027696,exact,7.0,7.0,202004W5,202004W5,31.951056522869862,interp,7.0,28.0,202004W5,202005,33.32076783629627,interp,28.0,56.0,202005,202006,6,3,2,7.0,10300.5,10300.0,0.7435344827586207,29.0,empirical,202004W4(d0):dte=0 < 1,0.0,21.0,28.0,20.32410283593957
2020-04-23,25.818364065723365,interp,6.0,27.0,202004W5,202005,29.34660691759065,interp,6.0,27.0,202004W5,202005,30.893215824237785,interp,27.0,55.0,202005,202006,6,2,2,6.0,10372.0,10350.0,0.7106681034482758,29.0,empirical,,21.0,21.0,28.0,20.39975086138352
2020-04-24,26.60376217585993,interp,5.0,26.0,202004W5,202005,29.327101557896267,interp,5.0,26.0,202004W5,202005,30.41926877119868,interp,26.0,54.0,202005,202006,6,2,2,5.0,10351.5,10350.0,0.6444052419354839,31.0,empirical,,21.0,21.0,28.0,20.39975086138352
